description,category
Paid mobile carrier,Bills
Spotify receipt,Entertainment
arcade,Entertainment
Monthly metro card top-up subscription,Transportation
Miscellaneous small purchase,Other
SHEIN,Shopping
pharmacy,Shopping
gas utility today,Bills
YouTube Premium receipt,Entertainment
Furniture from IKEA,Shopping
arcade payment,Entertainment
Careem ride home,Transportation
bakery today,Food
maintenance company visit,Bills
Charge from bookstore,Education
Charge from miscellaneous purchase,Other
Monthly fuel station subscription,Transportation
Grabbed coffee before work,Food
Paid internet provider,Bills
Donated to a local charity,Other
Spent at exam fee office,Education
Watched a movie at the cinema,Entertainment
Charge from bookshop,Shopping
Spent at school,Education
Netflix payment,Entertainment
Order from Subway,Food
concert ticket purchase,Entertainment
Bought something at Careem Food,Food
charity today,Other
school bill,Education
Bought something at Steam,Entertainment
Order from arcade,Entertainment
Transaction at PlayStation Store,Entertainment
electronics store purchase,Shopping
Paid Umniah,Bills
Paid landlord,Bills
Spent at board game cafe,Entertainment
Monthly Starbucks subscription,Food
Paid concert ticket,Entertainment
Paid arcade,Entertainment
Spent at bowling alley,Entertainment
Spent at furniture shop,Shopping
concert ticket today,Entertainment
Spent at donation,Other
Monthly internet provider subscription,Bills
Parked downtown for two hours,Transportation
H&M bill,Shopping
McDonald's payment,Food
internet provider visit,Bills
Charge from Burger King,Food
supermarket,Food
Bought something at training center,Education
Paid charity,Other
Dinner at a restaurant with friends,Food
Paid parking garage,Transportation
Monthly food court subscription,Food
Paid training center,Education
Charge from car wash,Transportation
Charge from YouTube Premium,Entertainment
Paid Domino's Pizza,Food
Bought something at library,Education
Payment to cash withdrawal,Other
Spent at Careem,Transportation
mobile phone shop payment,Shopping
Charge from mall,Shopping
bookshop payment,Shopping
Payment to university,Education
Charge from charity,Other
Charge from shawarma stand,Food
Orange today,Bills
city bus,Transportation
Filled up the car with fuel,Transportation
toll gate bill,Transportation
Bought something at city bus,Transportation
Monthly Zain subscription,Bills
Charge from tutoring center,Education
Bought something at mall,Shopping
University tuition for this semester,Education
Paid online course platform,Education
Paid grocery store,Food
Spotify visit,Entertainment
Safeway purchase,Food
miscellaneous purchase payment,Other
coffee shop receipt,Food
Enrolled in an Udemy course,Education
water authority bill,Bills
toll gate,Transportation
Charge from KFC,Food
Spent at toll gate,Transportation
exam fee office visit,Education
Orange,Bills
Paid bookshop,Shopping
Charge from pharmacy,Shopping
clothing store receipt,Shopping
Paid Careem,Transportation
Zara,Shopping
Safeway,Food
Payment to Talabat,Food
Spent at Domino's Pizza,Food
Payment to Careem Food,Food
airport shuttle payment,Transportation
Order from repair shop,Other
university visit,Education
Bought something at unknown vendor,Other
Monthly Subway subscription,Food
Monthly water authority subscription,Bills
Spent at Udemy,Education
mobile carrier purchase,Bills
Netflix visit,Entertainment
Paid Udemy,Education
Monthly Talabat subscription,Food
parking garage purchase,Transportation
exam fee office purchase,Education
board game cafe bill,Entertainment
metro card top-up today,Transportation
bank purchase,Other
Bought something at school,Education
Paid pharmacy,Shopping
tutoring center payment,Education
train ticket payment,Transportation
KFC payment,Food
Spent at repair shop,Other
Bought something at Careem,Transportation
Spent at Coursera,Education
ATM,Other
Spent at juice bar,Food
online course platform receipt,Education
airport shuttle visit,Transportation
Spent at pharmacy,Shopping
Paid SHEIN,Shopping
Spent at cash withdrawal,Other
Payment to Steam,Entertainment
Order from metro card top-up,Transportation
Transaction at H&M,Shopping
gas station payment,Transportation
taxi today,Transportation
Payment to landlord,Bills
Order from bank,Other
Transaction at grocery store,Food
Spotify today,Entertainment
Charge from McDonald's,Food
SHEIN today,Shopping
McDonald's visit,Food
unknown vendor payment,Other
bowling alley,Entertainment
Transaction at water authority,Bills
Order from bookshop,Shopping
Monthly bookstore subscription,Education
amusement park bill,Entertainment
Paid electronics store,Shopping
food court purchase,Food
cinema receipt,Entertainment
Paid service fee,Other
Uber Eats delivery,Food
gas utility bill,Bills
shawarma stand receipt,Food
Order from clothing store,Shopping
board game cafe payment,Entertainment
Netflix purchase,Entertainment
Order from bakery,Food
YouTube Premium,Entertainment
bowling alley today,Entertainment
KFC today,Food
concert ticket receipt,Entertainment
shawarma stand payment,Food
Amazon order arrived,Shopping
Monthly Amazon subscription,Shopping
furniture shop receipt,Shopping
Charge from supermarket,Food
Bought something at food court,Food
Order from water authority,Bills
grocery store visit,Food
gift shop visit,Other
Monthly car maintenance shop subscription,Transportation
Order from Udemy,Education
Paid taxi,Transportation
Spent at Burger King,Food
Charge from Cafe Latte,Food
Transaction at concert ticket,Entertainment
Monthly Umniah subscription,Bills
Paid coffee shop,Food
online course platform today,Education
ATM visit,Other
amusement park,Entertainment
Transaction at parking garage,Transportation
Transaction at internet provider,Bills
clothing store bill,Shopping
Transaction at city bus,Transportation
Bought something at gas station,Transportation
Transaction at Zain,Bills
school payment,Education
Shahid payment,Entertainment
Order from gas station,Transportation
tutoring center,Education
Cafe Latte payment,Food
metro card top-up bill,Transportation
YouTube Premium purchase,Entertainment
Paid Amazon,Shopping
furniture shop payment,Shopping
Bought something at service fee,Other
gas station purchase,Transportation
Bought something at Shahid,Entertainment
Spent at car wash,Transportation
Monthly Shahid subscription,Entertainment
fuel station bill,Transportation
Spent at university,Education
repair shop receipt,Other
Subway bill,Food
Umniah payment,Bills
Transaction at gas utility,Bills
maintenance company today,Bills
Payment to furniture shop,Shopping
Payment to clothing store,Shopping
Paid bakery,Food
bookstore today,Education
Coursera today,Education
Uber ride to university,Transportation
Bought something at Umniah,Bills
Bought something at charity,Other
Paid juice bar,Food
Transaction at bakery,Food
tutoring center today,Education
Spent at Netflix,Entertainment
mobile carrier bill,Bills
Udemy purchase,Education
Order from electricity company,Bills
PlayStation Store purchase,Entertainment
Transaction at fuel station,Transportation
Payment to toll gate,Transportation
PlayStation Store visit,Entertainment
exam fee office bill,Education
H&M today,Shopping
Transaction at Zara,Shopping
unknown vendor,Other
library payment,Education
Charge from electronics store,Shopping
Monthly Uber subscription,Transportation
donation purchase,Other
Bought a new game on Steam,Entertainment
car wash purchase,Transportation
bookstore visit,Education
gas utility payment,Bills
Amazon receipt,Shopping
university today,Education
Transaction at Orange,Bills
Monthly SHEIN subscription,Shopping
maintenance company payment,Bills
McDonald's purchase,Food
taxi receipt,Transportation
Transaction at car wash,Transportation
Spotify purchase,Entertainment
Bought something at bakery,Food
landlord today,Bills
electronics store bill,Shopping
food court visit,Food
Payment to grocery store,Food
Paid fuel station,Transportation
toll gate payment,Transportation
Order from bowling alley,Entertainment
supermarket payment,Food
food court bill,Food
amusement park today,Entertainment
Monthly internet bill payment,Bills
Spent at metro card top-up,Transportation
Transaction at Pizza Hut,Food
Payment to Amazon,Shopping
Transaction at Safeway,Food
Charge from Careem,Transportation
Transaction at mall,Shopping
Monthly IKEA subscription,Shopping
Payment to mobile carrier,Bills
Payment to Shahid,Entertainment
charity visit,Other
Charge from IKEA,Shopping
local restaurant payment,Food
Spotify premium monthly plan,Entertainment
YouTube Premium bill,Entertainment
Monthly Cafe Latte subscription,Food
Order from Safeway,Food
shawarma stand purchase,Food
service fee today,Other
Payment to electronics store,Shopping
internet provider payment,Bills
Shahid purchase,Entertainment
Order from online course platform,Education
Transaction at airport shuttle,Transportation
Spent at Pizza Hut,Food
repair shop,Other
juice bar visit,Food
Spent at gas utility,Bills
Paid cash withdrawal,Other
Payment to airport shuttle,Transportation
Paid rent for the apartment,Bills
train ticket receipt,Transportation
fuel station visit,Transportation
Mobile phone bill from Zain,Bills
Subway purchase,Food
cinema payment,Entertainment
Careem Food today,Food
Monthly ATM subscription,Other
library,Education
Order from train ticket,Transportation
Paid the electricity bill,Bills
Transaction at school,Education
Carrefour payment,Food
Spent at maintenance company,Bills
Payment to KFC,Food
Charge from Domino's Pizza,Food
Taxi to the airport,Transportation
Spent at online course platform,Education
Payment to cinema,Entertainment
SHEIN bill,Shopping
training center today,Education
Order from Steam,Entertainment
Spent at IKEA,Shopping
Bought something at Safeway,Food
Uber purchase,Transportation
Orange visit,Bills
Talabat receipt,Food
mall today,Shopping
Order from car wash,Transportation
Uber ride to work,Transportation
Bought clothes from Zara,Shopping
Transaction at taxi,Transportation
Bought something at bank,Other
Spent at cinema,Entertainment
Order from miscellaneous purchase,Other
Starbucks,Food
Picked up medicine from the pharmacy,Shopping
Payment to gift shop,Other
Payment to juice bar,Food
Charge from arcade,Entertainment
university bill,Education
Payment to donation,Other
unknown vendor purchase,Other
Zain bill,Bills
maintenance company,Bills
supermarket visit,Food
Paid car maintenance shop,Transportation
Monthly Zara subscription,Shopping
coffee shop purchase,Food
Charge from electricity company,Bills
taxi,Transportation
Careem visit,Transportation
Transaction at Carrefour,Food
repair shop visit,Other
IKEA visit,Shopping
Pizza Hut,Food
Transaction at service fee,Other
Transaction at Domino's Pizza,Food
Uber visit,Transportation
Talabat,Food
cash withdrawal purchase,Other
Order from Pizza Hut,Food
landlord bill,Bills
Paid gas station,Transportation
training center payment,Education
ATM payment,Other
Monthly mobile carrier subscription,Bills
